model_name,gpu_name,mean_duration,relevance_pass_rate,bert_raw_avg,bert_pass_rate,mpnet_raw_avg,mpnet_pass_rate,dpo_mean,dpo_norm_mean,rlhf_mean,rlhf_mean_norm,reciprocate_reward_mean,reciprocate_reward_mean_norm,total_reward,total_reward_excluding_relevance
Mythalion-13B-GPTQ,RTX_4090,2.6834991715519303,0.8232931726907631,-0.02007943418542719,0.8232931726907631,0.5873076622916692,0.8714859437751004,-12.473440637550201,0.39267145402460213,-0.30775718768332977,0.24860903118030134,0.23117255234136813,0.25860433190701954,0.24272851964489736,0.29482634825160703
StableBeluga-13B-GPTQ,RTX_4090,4.483395932467429,0.9690934065934066,-0.013927980212472508,0.9773351648351648,0.7041122955647502,0.9832875457875457,-11.332324129321199,0.53626173817904,-0.24860426944522945,0.27302897901652934,-0.3340035947028723,0.27930966300732923,0.3429456935982962,0.3538830119625225
UndiMix-v1-13B-GPTQ,RTX_3090,3.8530227308273317,0.94,-0.017469722110778043,0.948,0.6476609328091144,0.964,-12.14715625,0.43802388954162597,0.01961866092123091,0.3133868520259857,1.5594803018772856,0.36764804911613463,0.34503294292879105,0.36705632226467133
airoboros-l2-13B-gpt4-1.4.1-GPTQ,RTX_3090,4.093921218052446,0.7670682730923695,-0.01970326195070777,0.7831325301204819,0.5555214098463934,0.7911646586345381,-12.097985692771084,0.4445455395074255,-0.19999972794085263,0.28025970353658897,1.2085631605218219,0.3059770557056948,0.25870195178387173,0.33726065965541396
EverythingLM-13B-16K-GPTQ,RTX_3090,6.607839608288194,0.8594377510040161,-0.015784003523114765,0.8755020080321285,0.6230355238534481,0.8795180722891566,-10.649786646586346,0.626484318550332,-0.6029438970939641,0.23602309906817823,-2.051416201012157,0.1717743289518548,0.2869549495670381,0.33388683384202095
WizardMath-13B-V1.0-GPTQ,RTX_3090,4.432537079814926,0.6706827309236948,-0.018543342478109483,0.714859437751004,0.5205424266098718,0.6907630522088354,-11.785924949799197,0.4827995424768532,-1.0202660758598112,0.16759808199951448,-2.810893167278724,0.10880134311545805,0.16399500495481775,0.24451949840568635
Redmond-Puffin-13B-GPTQ,RTX_3090,5.193609612055093,0.8072289156626506,-0.0172370896061291,0.8192771084337349,0.598283053873234,0.8514056224899599,-11.35855139307229,0.5337893979616434,-0.7175927671461729,0.20701542963464575,-1.1349416704320197,0.2000748117764791,0.244562459107078,0.3029654344162309
Mythical-Destroyer-V2-L2-13B-GPTQ,RTX_4090,7.428553491232385,0.9959839357429718,-0.013408839839125324,1.0,0.7111252998731222,0.9959839357429718,-10.262252133534137,0.6724810833672443,0.35267473521631165,0.379327649093536,-1.723733901977539,0.17516514228050967,0.4043943051336211,0.40602492733174056
MythoMax-L2-Kimiko-v2-13B-GPTQ,RTX_4090,2.027966842115165,0.6947791164658634,-0.023502764015282684,0.7108433734939759,0.5000530244561893,0.7429718875502008,-13.017758534136545,0.3243561746126198,-0.10776164626934562,0.28082401290476083,1.4770712439035405,0.29975671270286225,0.20813044390465604,0.29956347128473615
Speechless-Llama2-Hermes-Orca-Platypus-WizardLM-13B-GPTQ,RTX_4090,3.383218568012896,0.9598393574297188,-0.016429449401676125,0.9718875502008032,0.6851876962436251,0.9839357429718876,-11.95257592871486,0.46627687222986336,0.13122773168601065,0.3311933598604547,1.0799980482795748,0.3524403446410076,0.3629080708927747,0.3780925090054431
Stheno-L2-13B-GPTQ,RTX_4090,3.9120721644665823,0.8674698795180723,-0.017825020710941372,0.8755020080321285,0.6444846459488612,0.9437751004016064,-12.196551832329318,0.4347137009283625,-0.22710696698155208,0.2681596154668724,0.06912644704182942,0.2639638298007858,0.2748726697493437,0.31686710540549345
Chronoboros-Grad-L2-13B-GPTQ,RTX_4090,3.606362326500008,0.898974259725179,-0.01659995916573308,0.9059415521579253,0.6557129123669931,0.9372943681052835,-11.961214195858332,0.45698652508320187,-0.23335670000823241,0.27472580493200166,0.7002216638866872,0.32442758821970447,0.30952992306004623,0.34431455596367255
OpenBuddy-Llama2-13B-v11.1-GPTQ,RTX_4090,1.9743065358591725,0.44874274661508706,-0.029363399518318647,0.4531914893617021,0.3760120560791131,0.5270793036750484,-13.672258824951644,0.23323137262688384,-0.35253207671941406,0.2536573575071025,-0.9087252863522234,0.13962941786537317,0.09572633229191528,0.2133211801505181
Kimiko-13B-GPTQ,RTX_4090,5.199749524123423,0.8543746330005872,-0.016730626154545826,0.8719906048150323,0.6174452437803293,0.8721863378351928,-11.547438114724017,0.5053326756514596,-0.46065424379885606,0.2532236949469764,0.41858180156415,0.2998940309425417,0.29292874215350667,0.34285748995699095
Firefly-Llama2-13B-v1.2-GPTQ,RTX_3090,4.030776640497537,0.8955823293172691,-0.016707874189344114,0.9116465863453815,0.6658040574082289,0.963855421686747,-12.07933295682731,0.44831848551470593,-0.31180493149487487,0.24833787026175533,0.9077698917132322,0.3402469103116108,0.30083037343015173,0.3359047667448779
Kimiko-v2-13B-GPTQ,RTX_4090,3.878184165341787,0.7630522088353414,-0.01820783823706115,0.7791164658634538,0.5828624593905626,0.7871485943775101,-11.58121548694779,0.5108898052250046,-0.6807769141328263,0.21109311946903367,-1.169215152138158,0.19690564310694314,0.22645549250830352,0.29677588228719776
Luban-13B-GPTQ,RTX_4090,5.895748229026794,1.0,-0.012188950270414306,1.0,0.7454799426794052,1.0,-10.246703125,0.6816041268110276,-0.09082843214622699,0.2984027100801468,-2.3493013916015624,0.15757154500484466,0.37111378554105756,0.37111378554105756
Nous-Puffin-70B-GPTQ,RTX_4090,nan,,,,,,,,,,,,,
OpenOrca-Platypus2-13B-GPTQ,RTX_4090,5.646994547009067,0.9941077441077442,-0.012259676323432162,0.9966329966329966,0.7401293096593534,0.9974747474747475,-10.634909752911055,0.6360689171335914,-0.31417612342842227,0.25806405476381217,-2.002149750410484,0.1716391984561477,0.34350205793255006,0.34553805658244663
